bfvd_entry	accession	virus_taxid	virus_name	host_taxid	host_name	host_bucket
A0A3G8F2V0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A3G8F2V0	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2V5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A3G8F2V5	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2V6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A3G8F2V6	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2V7_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3G8F2V7	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2W2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A3G8F2W2	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2W4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A3G8F2W4	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2W8_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3G8F2W8	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2X0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3G8F2X0	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A3G8F2X2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	A0A3G8F2X2	2488654	Escherichia phage Skarpretter	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A482N1J5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A482N1J5	2508177	Escherichia phage vB_EcoM_OE5505	562	Escherichia coli	bacteria
A0A482N1M7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A482N1M7	2508195	Escherichia phage vB_EcoM_Schickermooser	562	Escherichia coli	bacteria
A0A482N1S0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482N1S0	2508177	Escherichia phage vB_EcoM_OE5505	562	Escherichia coli	bacteria
A0A482N227_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N227	2508186	Escherichia phage vB_EcoS_WF5505	562	Escherichia coli	bacteria
A0A482N237_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N237	2508186	Escherichia phage vB_EcoS_WF5505	562	Escherichia coli	bacteria
A0A482N254_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N254	2508179	Escherichia phage vB_EcoM_G8	562	Escherichia coli	bacteria
A0A482N2D8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N2D8	2508195	Escherichia phage vB_EcoM_Schickermooser	562	Escherichia coli	bacteria
A0A482N2F4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482N2F4	2508173	Escherichia phage vB_EcoS_VAH1	562	Escherichia coli	bacteria
A0A482N2F8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N2F8	2508173	Escherichia phage vB_EcoS_VAH1	562	Escherichia coli	bacteria
A0A482N2S5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482N2S5	2508173	Escherichia phage vB_EcoS_VAH1	562	Escherichia coli	bacteria
A0A482N6T8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N6T8	2508173	Escherichia phage vB_EcoS_VAH1	562	Escherichia coli	bacteria
A0A482N720_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N720	2508176	Escherichia phage vB_EcoS_EASG3	562	Escherichia coli	bacteria
A0A482N772_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N772	2508190	Escherichia phage vB_EcoS_HdK1	562	Escherichia coli	bacteria
A0A482N7K3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482N7K3	2508176	Escherichia phage vB_EcoS_EASG3	562	Escherichia coli	bacteria
A0A482N7Y2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A482N7Y2	2508191	Escherichia phage vB_EcoS_HdSG1	562	Escherichia coli	bacteria
