family	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Acidilobaceae	Archaea	UP000000346	666510	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	96.3	Unknown	1499	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000346/UP000000346_666510.gene2acc.gz
Archaeoglobaceae	Archaea	UP000002613	589924	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	100.0	Unknown	2463	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002613/UP000002613_589924.gene2acc.gz
Caldisphaeraceae	Archaea	UP000010469	1056495	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154)	97.3	Unknown	1477	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000010469/UP000010469_1056495.gene2acc.gz
Candidatus Cenarchaeaceae	Archaea	UP000000758	414004	Cenarchaeum symbiosum (strain A)	91.8	Unknown	2022	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000758/UP000000758_414004.gene2acc.gz
Candidatus Korarchaeaceae	Archaea	UP000001686	374847	Korarchaeum cryptofilum (strain OPF8)	88.7	Unknown	1602	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001686/UP000001686_374847.gene2acc.gz
Candidatus Methanoperedentaceae	Archaea	UP000027153	1392998	Candidatus Methanoperedens nitratireducens	94.7	Unknown	3430	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000027153/UP000027153_1392998.gene2acc.gz
Candidatus Micrarchaeaceae	Archaea	UP000332487	425595	Candidatus Micrarchaeum acidiphilum ARMAN-2	67.5	Unknown	1025	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000332487/UP000332487_425595.gene2acc.gz
Candidatus Naiadarchaeaceae	Archaea	UP000646946	2756139	Candidatus Naiadarchaeum limnaeum	82.0	Unknown	1101	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000646946/UP000646946_2756139.gene2acc.gz
Candidatus Nanohalobiaceae	Archaea	UP000377803	2565781	Candidatus Nanohalobium constans	71.6	Unknown	1162	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000377803/UP000377803_2565781.gene2acc.gz
Candidatus Nitrosocaldaceae	Archaea	UP000236248	2058097	Candidatus Nitrosocaldus cavascurensis	90.6	Unknown	1766	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000236248/UP000236248_2058097.gene2acc.gz
Candidatus Undinarchaeaceae	Archaea	UP000604391	2756141	Candidatus Undinarchaeum marinum	76.3	Unknown	709	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000604391/UP000604391_2756141.gene2acc.gz
Conexivisphaeraceae	Archaea	UP000509448	1874277	Conexivisphaera calida	21.3	Unknown	1603	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509448/UP000509448_1874277.gene2acc.gz
Cuniculiplasmataceae	Archaea	UP000187822	1673428	Cuniculiplasma divulgatum	97.1	Unknown	1812	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000187822/UP000187822_1673428.gene2acc.gz
Desulfurococcaceae	Archaea	UP000000254	399550	Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	98.6	Unknown	1570	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000254/UP000000254_399550.gene2acc.gz
Ferroplasmaceae	Archaea	UP000192050	74969	Ferroplasma acidiphilum	98.8	Unknown	1749	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000192050/UP000192050_74969.gene2acc.gz
Fervidicoccaceae	Archaea	UP000007391	1163730	Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)	95.6	Unknown	1384	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000007391/UP000007391_1163730.gene2acc.gz
Haladaptataceae	Archaea	UP000186914	553468	Haladaptatus litoreus	99.8	Unknown	4885	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000186914/UP000186914_553468.gene2acc.gz
Halalkalicoccaceae	Archaea	UP001596312	175632	Halalkalicoccus tibetensis	98.5	Standard	3683	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001596312/UP001596312_175632.gene2acc.gz
Haloarculaceae	Archaea	UP001430377	2487747	Haloarcula rubra	100.0	Unknown	4663	42	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001430377/UP001430377_2487747.gene2acc.gz
Halobacteriaceae	Archaea	UP000066737	1407499	Halobacterium hubeiense	99.3	Unknown	3340	15	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000066737/UP000066737_1407499.gene2acc.gz
Halococcaceae	Archaea	UP000830542	179637	Halococcus dombrowskii	99.4	Unknown	3769	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000830542/UP000830542_179637.gene2acc.gz
Haloferacaceae	Archaea	UP000199451	660521	Halogranum gelatinilyticum	99.8	Unknown	3752	111	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000199451/UP000199451_660521.gene2acc.gz
Halorubellaceae	Archaea	UP001596395	755308	Halorubellus litoreus	99.8	Unknown	4335	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001596395/UP001596395_755308.gene2acc.gz
