Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage
UP000000625	Escherichia coli (strain K12)	83333	4403	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:440	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6067	C:99.6%[S:97.4%,D:2.2%],F:0.1%,M:0.3%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Saccharomyces, Saccharomyces cerevisiae
UP000000589	Mus musculus (Mouse)	10090	54857	C:99.8%[S:51.8%,D:48.0%],F:0.0%,M:0.2%,n:13798	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Mus, Mus
UP000000803	Drosophila melanogaster (Fruit fly)	7227	21953	C:100.0%[S:41.8%,D:58.2%],F:0.0%,M:0.0%,n:3285	Close to standard (high value)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae, Drosophilinae, Drosophilini, Drosophila, Sophophora, melanogaster group, melanogaster subgroup
UP000001570	Bacillus subtilis (strain 168)	224308	4288	C:99.6%[S:99.3%,D:0.2%],F:0.0%,M:0.4%,n:450	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis group, Bacillus subtilis, Bacillus subtilis subsp. subtilis
UP000002494	Rattus norvegicus (Rat)	10116	52827	C:95.9%[S:49.5%,D:46.4%],F:0.3%,M:3.8%,n:13798	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Rattus
UP000005640	Homo sapiens (Human)	9606	147506	C:99.5%[S:37.0%,D:62.5%],F:0.0%,M:0.4%,n:13780	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo
UP000006548	Arabidopsis thaliana (Mouse-ear cress)	3702	39273	C:100.0%[S:64.3%,D:35.7%],F:0.0%,M:0.0%,n:4596	Standard	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis
UP000009136	Bos taurus (Bovine)	9913	51612	C:97.7%[S:35.2%,D:62.5%],F:0.4%,M:1.9%,n:13335	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	68855	C:98.9%[S:63.7%,D:35.2%],F:0.5%,M:0.6%,n:3640	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidei, Danionidae, Danioninae, Danio
UP000001940	Caenorhabditis elegans	6239	26629	C:100.0%[S:74.2%,D:25.8%],F:0.0%,M:0.0%,n:3131	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis
UP000002195	Dictyostelium discoideum (Social amoeba)	44689	12726	C:93.7%[S:89.8%,D:3.9%],F:1.6%,M:4.7%,n:255	Unknown	cellular organisms, Eukaryota, Amoebozoa, Evosea, Eumycetozoa, Dictyostelia, Dictyosteliales, Dictyosteliaceae, Dictyostelium
UP000059680	Oryza sativa subsp. japonica (Rice)	39947	48896	C:84.4%[S:78.1%,D:6.3%],F:5.0%,M:10.6%,n:4896	Standard	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida, Petrosaviidae, commelinids, Poales, Poaceae, BOP clade, Oryzoideae, Oryzeae, Oryzinae, Oryza, Oryza sativa
UP000000277	Sudan ebolavirus (strain Human/Uganda/Gulu/2000) (SEBOV) (Sudan Ebola virus)	386033	9		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, unclassified Mononegavirales, Filoviridae, Orthoebolavirus, Orthoebolavirus sudanense, Sudan ebolavirus
UP000000278	Dugbe virus (isolate ArD44313) (DUGV)	766194	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Nairoviridae, Orthonairovirus, Dugbe virus
UP000000288	Coxsackievirus A9 (strain Griggs)	12068	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus betacoxsackie, Enterovirus B, Coxsackievirus A9
UP000000353	Equine arteritis virus (strain Bucyrus) (EAV)	299386	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, Equarterivirinae, Alphaarterivirus, Alphaarterivirus equid, Equine arteritis virus
UP000000354	Severe acute respiratory syndrome coronavirus (SARS-CoV)	694009	15		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Sarbecovirus, Betacoronavirus pandemicum
UP000000355	Breda virus 1 (BRV-1)	360393	6		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Tornidovirineae, Tobaniviridae, Torovirinae, Torovirus, Renitovirus, Torovirus bovis, Bovine torovirus, Breda virus
UP000000356	Poliovirus type 1 (strain Mahoney)	12081	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus coxsackiepol, Enterovirus C, Poliovirus 1
UP000000357	Avian encephalomyelitis virus (strain Calnek vaccine) (AEV)	475778	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Tremovirus, Tremovirus aetremori, Tremovirus A
UP000000360	Yellow fever virus (strain 17D vaccine) (YFV)	11090	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus flavi, Yellow fever virus
UP000000400	Maize rayado fino virus (isolate Costa Rica/Guapiles) (MRFV)	652669	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Marafivirus, Marafivirus maydis, Maize rayado fino virus
UP000000401	Turnip yellow mosaic virus	12154	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Tymovirus, Tymovirus brassicae
UP000000407	Porcine sapelovirus (strain V13) (PSV) (Porcine enterovirus 8)	1002921	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Sapelovirus, Sapelovirus anglia, Sapelovirus A
UP000000409	Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963) (BBWV-1)	649895	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Fabavirus, Fabavirus alphaviciae, Broad bean wilt virus 1
UP000000413	Rabbit hemorrhagic disease virus (strain Rabbit/Germany/FRG/1989) (Ra/LV/RHDV/GH/1989/GE) (RHDV-FRG)	314536	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Lagovirus, Lagovirus europaeus, Rabbit hemorrhagic disease virus
UP000000471	Peanut mottle virus (strain M)	103926	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus arachidis, Peanut mottle virus
UP000000478	Poliovirus type 1 (strain Sabin)	12082	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus coxsackiepol, Enterovirus C, Poliovirus 1
UP000000515	Drosophila x virus (isolate Chung/1996) (DXV)	654931	3		Unknown	Viruses, Riboviria, Orthornavirae, Orthornavirae incertae sedis, Birnaviridae, Entomobirnavirus, Entomobirnavirus drosophilae, Drosophila x virus
UP000000518	Hepatitis C virus genotype 1a (isolate H77) (HCV)	63746	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, hepatitis C virus genotype 1a
UP000000520	Potato virus Y (strain N) (PVY)	12219	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus yituberosi, Potato virus Y
UP000000521	Brome streak virus (strain 11-Cal) (BStV) (Brome streak mosaic rymovirus)	117138	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Tritimovirus, Tritimovirus bromi, Brome streak mosaic virus
UP000000522	Tobacco mosaic virus (strain vulgare) (TMV) (Tobacco mosaic virus (strain U1))	12243	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Tobamovirus, Tobamovirus tabaci, Tobacco mosaic virus
UP000000568	Ryegrass mosaic virus (isolate Denmark/Danish) (RGMV)	652106	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Rymovirus, Rymovirus lolii, Ryegrass mosaic virus
UP000000569	Chikungunya virus (strain S27-African prototype) (CHIKV)	371094	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus chikungunya, Chikungunya virus
UP000000570	Semliki forest virus (SFV)	11033	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus semliki
UP000000571	Rubella virus (strain Therien) (RUBV)	11045	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Matonaviridae, Rubivirus, Rubivirus rubellae, Rubella virus
UP000000670	Human parechovirus 2 (strain Williamson) (HPeV-2) (Echovirus 23)	122962	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Parechovirus, Parechovirus ahumpari, Parechovirus A, Human parechovirus 2
UP000000672	Seneca Valley virus (isolate -/United States/SSV-001/2002) (SVV)	686944	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Senecavirus, Senecavirus valles
UP000000680	White bream virus (isolate Blicca bjoerkna L./Germany/DF24/00) (WBV)	766180	5		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Tornidovirineae, Tobaniviridae, Piscanivirinae, Bafinivirus, Blicbavirus, Bafinivirus bliccae, White bream virus
UP000000826	Norovirus (strain Human/NoV/United States/Norwalk/1968/GI) (Hu/NV/NV/1968/US)	524364	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Norovirus, Norovirus norwalkense, Norwalk virus, Norovirus isolates
UP000000837	Coxsackievirus B1 (strain Japan)	103902	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus betacoxsackie, Enterovirus B, Coxsackievirus B1
