order	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Acidilobales	Archaea	UP000010469	1056495	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154)	97.3	Unknown	1477	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000010469/UP000010469_1056495.gene2acc.gz
Archaeoglobales	Archaea	UP000002613	589924	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	100.0	Unknown	2463	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002613/UP000002613_589924.gene2acc.gz
Candidatus Cenarchaeales	Archaea	UP000000758	414004	Cenarchaeum symbiosum (strain A)	91.8	Unknown	2022	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000758/UP000000758_414004.gene2acc.gz
Candidatus Korarchaeales	Archaea	UP000001686	374847	Korarchaeum cryptofilum (strain OPF8)	88.7	Unknown	1602	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001686/UP000001686_374847.gene2acc.gz
Candidatus Micrarchaeales	Archaea	UP000332487	425595	Candidatus Micrarchaeum acidiphilum ARMAN-2	67.5	Unknown	1025	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000332487/UP000332487_425595.gene2acc.gz
Candidatus Naiadarchaeales	Archaea	UP000646946	2756139	Candidatus Naiadarchaeum limnaeum	82.0	Unknown	1101	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000646946/UP000646946_2756139.gene2acc.gz
Candidatus Nanohalobiales	Archaea	UP000377803	2565781	Candidatus Nanohalobium constans	71.6	Unknown	1162	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000377803/UP000377803_2565781.gene2acc.gz
Candidatus Nitrosocaldales	Archaea	UP000236248	2058097	Candidatus Nitrosocaldus cavascurensis	90.6	Unknown	1766	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000236248/UP000236248_2058097.gene2acc.gz
Candidatus Syntropharchaeales	Archaea	UP000186940	1838285	Candidatus Syntropharchaeum caldarium	77.2	Unknown	1784	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000186940/UP000186940_1838285.gene2acc.gz
Candidatus Undinarchaeales	Archaea	UP000604391	2756141	Candidatus Undinarchaeum marinum	76.3	Unknown	709	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000604391/UP000604391_2756141.gene2acc.gz
Conexivisphaerales	Archaea	UP000509448	1874277	Conexivisphaera calida	21.3	Unknown	1603	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509448/UP000509448_1874277.gene2acc.gz
Desulfurococcales	Archaea	UP000196694	1273541	Pyrodictium delaneyi	99.2	Unknown	1990	19	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000196694/UP000196694_1273541.gene2acc.gz
Fervidicoccales	Archaea	UP000007391	1163730	Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)	95.6	Unknown	1384	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000007391/UP000007391_1163730.gene2acc.gz
Halobacteriales	Archaea	UP001430377	2487747	Haloarcula rubra	100.0	Unknown	4663	276	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001430377/UP001430377_2487747.gene2acc.gz
Halorutilales	Archaea	UP001149411	2487751	Halorutilus salinus	69.9	Unknown	2290	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001149411/UP001149411_2487751.gene2acc.gz
Methanobacteriales	Archaea	UP001068021	408577	Methanobacterium veterum	100.0	Unknown	3262	36	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001068021/UP001068021_408577.gene2acc.gz
Methanocellales	Archaea	UP001320159	2052831	Methanooceanicella nereidis	96.6	Unknown	3016	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001320159/UP001320159_2052831.gene2acc.gz
Methanococcales	Archaea	UP000000590	267377	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)	99.7	Close to standard (low value)	1722	16	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000590/UP000000590_267377.gene2acc.gz
Methanomassiliicoccales	Archaea	UP000012672	1236689	Methanomethylophilus alvi (strain Mx1201)	99.1	Unknown	1643	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000012672/UP000012672_1236689.gene2acc.gz
Methanomicrobiales	Archaea	UP000005095	28892	Methanofollis liminatans DSM 4140	99.9	Unknown	2423	42	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000005095/UP000005095_28892.gene2acc.gz
Methanonatronarchaeales	Archaea	UP000185744	1903181	Methanohalarchaeum thermophilum	93.6	Unknown	2152	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000185744/UP000185744_1903181.gene2acc.gz
Methanopyrales	Archaea	UP000001826	190192	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	96.6	Unknown	1687	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001826/UP000001826_190192.gene2acc.gz
Methanosarcinales	Archaea	UP000509594	536044	Methanolobus zinderi	100.0	Close to standard (low value)	2600	46	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509594/UP000509594_536044.gene2acc.gz
Methanotrichales	Archaea	UP001215956	3033395	Candidatus Methanocrinis alkalitolerans	95.9	Unknown	2422	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001215956/UP001215956_3033395.gene2acc.gz
Nanoarchaeales	Archaea	UP000000578	228908	Nanoarchaeum equitans (strain Kin4-M)	60.3	Unknown	536	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000578/UP000000578_228908.gene2acc.gz
Nanobdellales	Archaea	UP001055553	2586965	Nanobdella aerobiophila	60.3	Unknown	736	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001055553/UP001055553_2586965.gene2acc.gz
